"Sheet","Context","Crop_Category","Crop_Group","Crop","Nutrient","Nutrient_Normalized","Nutrient_Type","Item","Detail","Source_URL"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Nitrogen","Nitrogen","Macro","Deficiency symptoms","Stunted, yellowish plants. Older leaves of whole plants are yellowish green. Old leaves sometimes all leaves become light green. Deficiency symptoms first appear at the tip and progress along the midrib an till the entire leaf is dead. Tips become chlorotic. Leaves narrow, short, erect and lemon-yellowish green.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_N.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Nitrogen","Nitrogen","Macro","Correction measure / remedy","Soil application of Urea @ 330/ha (110/ ac at three times). Foliar application of Urea 1% at weekly interval till the symptoms disappear.","https://agritech.tnau.ac.in/agriculture/plant_nutri/Rice_N.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Nitrogen","Nitrogen","Macro","Deficiency symptoms","Stunted plant growth • Older leaves are yellowish green • In severe cases, all leaves become light green • Leaves become narrow, short, erect and lemon-yellowish green","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_nitrogen.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Nitrogen","Nitrogen","Macro","Correction measure / remedy","Soil application of urea @ 330/ha (110/ ac at three times) • Foliar application of urea 1% (10 g/lit) at 15 days interval till the symptoms disappearTD height=""27"" colSpan=1 align=""right"" bgcolor=""#DEF0C2"" style","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_nitrogen.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Phosphorus","Phosphorus","Macro","Deficiency symptoms","Plants stunted with reduced tillering. • Leaves narrow, short, very erect 'dirty' dark green. • Older leaves turn brown red and purple colours develop in leaves","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_phos.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Phosphorus","Phosphorus","Macro","Correction measure / remedy","Foliar application of 2% DAP (20g/lit) two times at 15 days interval (2kg of DAP should be soaked in 20 lit of water over night and filter the solution in the next day morning). Add one lit of solution per tank (10 lit tank) and 20 tank (200lit) should be sprayed for an acreTD height=""27"" colSpan=1 align=""right"" bgcolor=""#DEF0C2"" style=""line-heigh","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_phos.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Potassium","Potassium","Macro","Deficiency symptoms","Dark green plants with yellowish. Brown leaf margins brown necrotic sports on the tips of older leaves. Symptoms first on older leaves. leaf edge. leaf base. Upper leaves short, droopy 'dirty' dark green. Older leaves yellow to brown yellow stripes along leaf interveins, rusty brown spots on the panicles.","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_k.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Potassium","Potassium","Macro","Correction measure / remedy","Foliar spray of KCl @ 5gram/lit at 15 days interval up to the disappearance of symptoms","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_k.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Potassium","Potassium","Macro","Deficiency symptoms","Scorching of leaf margins and tip • Symptoms first appear on older leaves • Rusty brown spots on the leaves and panicles","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_potassium.html"
"Crop nutrient deficiency & correction","","Agricultural Crops","Cereals","Rice","Potassium","Potassium","Macro","Correction measure / remedy","Foliar spray of 1 % K 2 SO 4 or 1 % KCl (10g/lit) at 15 days interval up to the disappearance of symptoms.TD height=""27"" colSpan=1 align=""right"" bgcolor=""#DEF0C2"" st","https://agritech.tnau.ac.in/agriculture/plant_nutri/rice_potassium.html"
